run,final_step,identity_acc_at_500,identity_acc_at_1000,identity_acc_at_2500,identity_acc_at_5000,identity_acc_auc,identity_acc_tail_slope_per_1k,completion_mask_acc_at_500,completion_mask_acc_at_1000,completion_mask_acc_at_2500,completion_mask_acc_at_5000,completion_mask_acc_auc,completion_mask_acc_tail_slope_per_1k,actual_backbone_units_per_byte_at_5000,backbone_padded_units_per_byte_at_5000,eval_identity_acc,eval_completion_mask_acc,eval_actual_backbone_units_per_byte,eval_truncated_tokens
codec_only_no_backbone_loss,5000,0.22900390625,0.294921875,0.54638671875,0.67431640625,0.4888180652296687,0.02477088341346154,0.010309278033673763,0.013452915474772453,0.01886792480945587,0.028112448751926422,0.012804439173540077,-0.0062820156498883785,0.4033203125,0.578125,0.6469573974609375,0.014083683112403378,0.4444580078125,0.0
full,5000,0.204345703125,0.239990234375,0.515380859375,0.59619140625,0.4241286434801707,-0.031588040865384616,0.09278350323438644,0.11210762709379196,0.08490566164255142,0.14457830786705017,0.11447571964193899,-0.025381679718311023,0.7421875,0.98828125,0.597015380859375,0.13434374961070716,0.78515625,0.0
l2_coding_rate,5000,0.16455078125,0.16015625,0.6669921875,0.699462890625,0.536495101499749,0.037588266225961536,0.09793814271688461,0.09417040646076202,0.08490566164255142,0.14859437942504883,0.12353371900981329,-0.028376930608199194,0.66943359375,0.853515625,0.7040863037109375,0.1477026822976768,0.6804046630859375,0.0
no_boundary_bridge,5000,0.22021484375,0.244140625,0.493408203125,0.607177734375,0.42073077466114456,-0.018592247596153848,0.10824742168188095,0.10762332379817963,0.07075472176074982,0.12449798732995987,0.11217438624087107,-0.005025485673776039,0.658203125,0.865234375,0.60247802734375,0.12744300882332027,0.660430908203125,0.0
no_boundary_prior,5000,0.208984375,0.237548828125,0.42529296875,0.5654296875,0.3860838863265562,-0.0005164513221153846,0.10309278219938278,0.09865471720695496,0.06603773683309555,0.14859437942504883,0.11261918570427411,-0.018104290732970603,0.830078125,1.07421875,0.566314697265625,0.1341624641790986,0.8257598876953125,0.0
no_compute_cost,5000,0.20458984375,0.250732421875,0.39404296875,0.40087890625,0.3283951234626004,-0.02564415564903846,0.10824742168188095,0.10313902050256729,0.06603773683309555,0.12048192322254181,0.11223127007349787,0.021759467629285958,0.77490234375,0.96875,0.4358367919921875,0.1299614803865552,0.731842041015625,0.0
no_diffusion_noise,5000,0.19287109375,0.24072265625,0.506103515625,0.6513671875,0.437370085811998,-0.011399489182692308,0.09615384787321091,0.10499999672174454,0.08812260627746582,0.09146340936422348,0.1116296512796637,-0.041187979854070224,0.634521484375,0.935546875,0.6428680419921875,0.12409650953486562,0.633209228515625,0.0
no_emit_value,5000,0.202392578125,0.25048828125,0.4462890625,0.460693359375,0.361324203062249,0.005615234374999998,0.10309278219938278,0.1165919303894043,0.07075472176074982,0.12851405143737793,0.11435508630406785,-0.02783416154292914,0.628173828125,0.80078125,0.44818115234375,0.13402648153714836,0.6256561279296875,0.0
no_logic_prior,5000,0.218505859375,0.24658203125,0.474609375,0.596923828125,0.4332927412776104,-0.05902569110576923,0.09793814271688461,0.09865471720695496,0.07075472176074982,0.14457830786705017,0.11684854700787359,-0.039499254180834845,0.9306640625,1.052734375,0.61468505859375,0.14211012003943324,0.9176177978515625,0.0
no_memory,5000,0.204833984375,0.268310546875,0.470947265625,0.5068359375,0.40004549447791166,-0.04079026442307692,0.10309278219938278,0.11210762709379196,0.07075472176074982,0.13654617965221405,0.11393448485652485,-0.03376294615177008,0.466796875,0.57421875,0.4987945556640625,0.13421041378751397,0.4613800048828125,0.0
no_memory_usage_constraint,5000,0.203125,0.237548828125,0.428955078125,0.613525390625,0.3990159858182731,0.01201923076923077,0.09278350323438644,0.11210762709379196,0.08018867671489716,0.16465863585472107,0.11510764328336501,-0.020252990894592725,0.80078125,0.962890625,0.593414306640625,0.13474320340901613,0.7814178466796875,0.0
plain_byte_lookup,5000,0.223388671875,0.2421875,0.462158203125,0.43310546875,0.34191992579693775,-0.004723182091346154,0.09278350323438644,0.11210762709379196,0.07075472176074982,0.14457830786705017,0.11483427924085333,-0.021742955709879216,0.608642578125,0.986328125,0.4360198974609375,0.13637104537338018,0.5997467041015625,0.0
pos_off_ar_off,5000,0.199951171875,0.21240234375,0.2236328125,0.236083984375,0.21535458239206828,-0.014366736778846154,0.09793814271688461,0.09865471720695496,0.06603773683309555,0.1405622363090515,0.11077745565508743,-0.03164962707803799,0.6494140625,0.798828125,0.23675537109375,0.12457001372240484,0.627685546875,0.0
pos_off_ar_on,5000,0.210205078125,0.206787109375,0.2470703125,0.242919921875,0.21989422533885541,-0.009540264423076926,0.09793814271688461,0.11210762709379196,0.06603773683309555,0.12449798732995987,0.11067701916184172,-0.02801926233447515,0.546875,0.6875,0.2443695068359375,0.11985521949827671,0.6035614013671875,0.0
pos_on_ar_off,5000,0.198974609375,0.24462890625,0.41552734375,0.420654296875,0.33060366465863456,-0.015728290264423073,0.10309278219938278,0.09865471720695496,0.07547169923782349,0.14859437942504883,0.11555134458280351,-0.04133189698824516,0.693359375,0.78515625,0.420379638671875,0.13097748765721917,0.7078704833984375,0.0
soft_emit_no_compaction,5000,0.21337890625,0.257080078125,0.575927734375,0.70068359375,0.462288117313002,0.005145733173076923,0.09793814271688461,0.09865471720695496,0.06603773683309555,0.14859437942504883,0.11482847295514491,-0.01273033510033901,1.0703125,1.09375,0.6794891357421875,0.1333700343966484,1.0751953125,0.0
uniform_boundaries,5000,0.20166015625,0.565185546875,0.960693359375,0.98388671875,0.7746258471385542,-0.005061222956730769,0.11340206116437912,0.11210762709379196,0.08018867671489716,0.1606425642967224,0.12573328222256588,-0.03314619110180782,0.982421875,1.0,0.9873199462890625,0.14853710727766156,0.9693603515625,0.0
