"group","step","threshold","reconstruction","completion_acc","completion_ppl","actual_latent_per_byte","soft_latent_per_byte","chunks_per_byte"
"p4_a_no_memory","3000","0.3","0.8454132080078125","0.11990215443074703","47.88927174387058","0.99981689453125","0.7270415350794792","0.0625"
"p4_a_no_memory","3000","0.4","0.843231201171875","0.12106610741466284","47.143537346608625","0.995147705078125","0.7270415350794792","0.0625"
"p4_a_no_memory","3000","0.5","0.822174072265625","0.1302699283696711","41.34999080034166","0.9606170654296875","0.7270415350794792","0.0625"
"p4_a_no_memory","3000","0.6","0.7674407958984375","0.13619999028742313","40.64630883260519","0.8721771240234375","0.7270415350794792","0.0625"
"p4_a_no_memory","3000","0.7","0.6530609130859375","0.1322030248120427","48.08984488560526","0.596832275390625","0.7270415350794792","0.0625"
"p4_a_no_memory","6000","0.3","0.9113616943359375","0.12495441269129515","40.25446991847704","0.9998321533203125","0.6660676337778568","0.0625457763671875"
"p4_a_no_memory","6000","0.4","0.9113006591796875","0.1263076509349048","39.816874761683685","0.989013671875","0.6660676337778568","0.0625457763671875"
"p4_a_no_memory","6000","0.5","0.9072723388671875","0.1302392315119505","37.41431721440288","0.9027252197265625","0.6660676337778568","0.0625457763671875"
"p4_a_no_memory","6000","0.6","0.8470001220703125","0.12968196626752615","39.17031496959161","0.6455230712890625","0.6660676337778568","0.0625457763671875"
"p4_a_no_memory","6000","0.7","0.6432037353515625","0.11979400552809238","52.35344470965756","0.3672027587890625","0.6660676337778568","0.0625457763671875"
"p4_a_no_memory","9000","0.3","0.8793792724609375","0.12085233582183719","43.62596163553234","0.9127655029296875","0.5895692631602287","0.062957763671875"
"p4_a_no_memory","9000","0.4","0.8561859130859375","0.1285812766291201","38.962140926892346","0.823883056640625","0.5895692631602287","0.062957763671875"
"p4_a_no_memory","9000","0.5","0.8199615478515625","0.13419635500758886","37.71219884314229","0.6005706787109375","0.5895692631602287","0.062957763671875"
"p4_a_no_memory","9000","0.6","0.7755584716796875","0.13586988067254424","37.99875265184337","0.45831298828125","0.5895692631602287","0.062957763671875"
"p4_a_no_memory","9000","0.7","0.71661376953125","0.13367531402036548","39.46970610805005","0.3307342529296875","0.5895692631602287","0.062957763671875"
"p4_a_no_memory","12000","0.3","0.9623870849609375","0.1315804054029286","39.091051135781","0.94708251953125","0.6375377401709557","0.062530517578125"
"p4_a_no_memory","12000","0.4","0.9527740478515625","0.1354757472872734","36.020802203087655","0.8770294189453125","0.6375377401709557","0.062530517578125"
"p4_a_no_memory","12000","0.5","0.9369354248046875","0.13980214996263385","34.49340654787926","0.7435150146484375","0.6375377401709557","0.062530517578125"
"p4_a_no_memory","12000","0.6","0.9129638671875","0.13958186842501163","34.916749913914686","0.563262939453125","0.6375377401709557","0.062530517578125"
"p4_a_no_memory","12000","0.7","0.8618316650390625","0.13605451816692948","37.84029958135595","0.389739990234375","0.6375377401709557","0.062530517578125"
"p4_a_no_memory","15000","0.3","0.86322021484375","0.11656405706889927","46.72543704142762","0.553192138671875","0.42717291973531246","0.063507080078125"
"p4_a_no_memory","15000","0.4","0.8511810302734375","0.12227986799553037","43.6510072065589","0.472412109375","0.42717291973531246","0.063507080078125"
"p4_a_no_memory","15000","0.5","0.8370513916015625","0.12257848377339542","41.87054090689091","0.3891448974609375","0.42717291973531246","0.063507080078125"
"p4_a_no_memory","15000","0.6","0.8118896484375","0.12191801005974412","43.23503979184124","0.3259124755859375","0.42717291973531246","0.063507080078125"
"p4_a_no_memory","15000","0.7","0.7603912353515625","0.11419883114285767","49.78399293168081","0.260040283203125","0.42717291973531246","0.063507080078125"
"p4_a_no_memory","18000","0.3","0.9010467529296875","0.11874010320752859","46.631338639135166","0.588775634765625","0.44212646409869194","0.063140869140625"
"p4_a_no_memory","18000","0.4","0.8878021240234375","0.12196697667241096","44.15113182312094","0.515045166015625","0.44212646409869194","0.063140869140625"
"p4_a_no_memory","18000","0.5","0.8768768310546875","0.1243006894364953","43.539722546523635","0.46099853515625","0.44212646409869194","0.063140869140625"
"p4_a_no_memory","18000","0.6","0.8568572998046875","0.12296683946624398","44.123116015783296","0.392333984375","0.44212646409869194","0.063140869140625"
"p4_a_no_memory","18000","0.7","0.806396484375","0.12067281641066074","45.63871936882002","0.303924560546875","0.44212646409869194","0.063140869140625"
"p4_a_no_memory","20000","0.3","0.9011688232421875","0.1170137976296246","46.177305863621164","0.5893096923828125","0.445643687620759","0.0633697509765625"
"p4_a_no_memory","20000","0.4","0.889434814453125","0.12193697225302458","43.85239652076486","0.50579833984375","0.445643687620759","0.0633697509765625"
"p4_a_no_memory","20000","0.5","0.8769989013671875","0.12475644098594785","42.76439242485466","0.4321136474609375","0.445643687620759","0.0633697509765625"
"p4_a_no_memory","20000","0.6","0.855560302734375","0.12247053533792496","43.54207578023695","0.371368408203125","0.445643687620759","0.0633697509765625"
"p4_a_no_memory","20000","0.7","0.803375244140625","0.11809346498921514","45.84749951764348","0.301849365234375","0.445643687620759","0.0633697509765625"
"p4_b_other_memory_only","3000","0.3","0.9855194091796875","0.13230990106239915","41.53441791126125","0.8065185546875","0.5755777806043625","0.0625"
